USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mateseries       51571   3.9  0.6  4613264 100968   ??  R     1:26下午   0:40.13 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
mateseries        1756   3.4  2.8 10710312 465292   ??  S    121117  192:36.98 /Applications/XMind.app/Contents/MacOS/XMind
_windowserver      138   2.5  1.8  7937184 305344   ??  Us   121117  118:43.66 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
mateseries       13380   1.9  0.6  4796712 105624   ??  S    201117    2:31.88 /Library/Input Methods/SogouInput.app/Contents/MacOS/SogouInput
mateseries         980   1.6  9.7  8687744 1622660   ??  R    121117  112:35.78 /Applications/PyCharm.app/Contents/MacOS/pycharm
_hidd               99   0.7  0.0  4307668   7524   ??  Ss   121117   23:23.36 /usr/libexec/hidd
root                 1   0.2  0.1  4329556  21536   ??  Ss   121117   40:09.33 /sbin/launchd
mateseries         487   0.1  0.1  4333288   9752   ??  S    121117    0:17.74 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
root                68   0.1  0.0  4330628   6772   ??  Ss   121117    0:07.27 /usr/libexec/diskarbitrationd
mateseries       38202   0.1  1.0  5538100 174000   ??  S    日06下午   2:53.21 /Applications/Google Chrome.app/Contents/Versions/62.0.3202.94/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=renderer --field-trial-handle=12059845461717208983,9899393877355081657,131072 --service-pipe-token=CE983E7321A4A111173058B2FB0F418C --lang=zh-CN --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=true --enable-pinch --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,34037;0,12,34037;0,13,34037;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,34037;1,12,34037;1,13,34037;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,34037;3,12,34037;3,13,34037;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553;5,0,3553;5,1,3553;5,2,3553;5,3,3553;5,4,3553;5,5,34037;5,6,3553;5,7,3553;5,8,3553;5,9,3553;5,10,3553;5,11,3553;5,12,3553;5,13,34037;5,14,34037;5,15,3553;5,16,34037;5,17,34037;6,0,3553;6,1,3553;6,2,3553;6,3,3553;6,4,3553;6,5,34037;6,6,3553;6,7,3553;6,8,3553;6,9,3553;6,10,3553;6,11,3553;6,12,3553;6,13,34037;6,14,34037;6,15,3553;6,16,34037;6,17,34037 --enable-gpu-async-worker-context --service-request-channel-token=CE983E7321A4A111173058B2FB0F418C --renderer-client-id=7
root                79   0.1  0.1  4333356  11164   ??  Ss   121117    1:23.94 /System/Library/CoreServices/launchservicesd
mateseries         797   0.1  0.1  4349012  23836   ??  S    121117    0:24.83 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
mateseries       51266   0.0  0.4  4380804  75088   ??  S     1:09下午   0:02.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
mateseries       51258   0.0  0.4  4376584  70020   ??  S     1:07下午   0:02.21 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
_spotlight       51242   0.0  0.1  4338592  13880   ??  S     1:05下午   0:00.19 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
mateseries       51236   0.0  0.4  4378192  65300   ??  S     1:05下午   0:02.18 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
mateseries       51206   0.0  0.1  4343064  16088   ??  S     1:02下午   0:00.53 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
mateseries       51131   0.0  0.2  4372300  30736   ??  Ss   12:55下午   0:00.23 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries       51129   0.0  0.8  5771976 135108   ??  S    12:55下午   0:15.21 /Applications/DEVONthink Pro.app/Contents/MacOS/DEVONthink Pro
mateseries       50932   0.0  0.1  4288696  11060   ??  Ss   12:29下午   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
mateseries       50931   0.0  1.5  5952560 258216   ??  Ss   12:29下午   0:47.20 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
root             47939   0.0  0.0  4304964   6244   ??  Ss    7:45下午   0:00.04 /usr/libexec/applessdstatistics
mateseries       47173   0.0  0.1  4305080  11056   ??  Ss   六08上午   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
mateseries       47169   0.0  5.0  6661920 844424   ??  S    六08上午   8:34.99 /Applications/YoudaoNote.app/Contents/MacOS/YoudaoNote
_fpsd            46478   0.0  0.0  4296956   4680   ??  Ss   六01上午   0:00.08 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fpsd
_fpsd            44628   0.0  0.1  4309044   8696   ??  Ss   四08上午   0:00.42 /System/Library/PrivateFrameworks/CoreADI.framework/adid
root             44509   0.0  0.1  4353928  19868   ??  Ss   四07上午   0:14.78 /usr/libexec/syspolicyd
mateseries       44439   0.0  0.1  4337068   9904   ??  S    四07上午   0:01.10 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper -psn_0_2191895
_netbios         44183   0.0  0.1  4306924  11608   ??  SNs  四04上午   0:01.33 /usr/sbin/netbiosd
